username,comment_combined,comment_count,batches
j2._.yyye,캄프 에어리 베일 카밍 선스틱과 함께라면 따가운 햇볕 아래에서도 걱정 없이 달릴 수 있을 것 같아요! 🏃‍♀️🔥☀️ 💪💨✨👟​#캄프 #Calmf #캄프선스틱 #에어리베일카밍선스틱 @j1._.deok,1,
gingi.2,💪🏃‍♀️🏃🏃‍♂️✌️🫰👌🫶👏 @hwang_8998 @eunk8998 @hoya4392 @eunk.8998 @uupapa82 @uumom82,1,
0min.aftertaste,올해는 하프 마라톤 가즈아!!🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♀️🏃‍♀️🏃‍♀️,1,
takochips1136,🏃🏃‍♀️🏃‍♂️달려달려! @jongok0242,1,
myname_hailey_,짧게라도 매일 뛰는 게 목표라서 러닝 열정은 계속 유지 중이에요 🏃☀️👟💨 🔥@__9oclock,1,
cdol7734,💪🦵🏃🏃‍♀️🏃‍♂️ @yjkongji1 @myming_0725,1,
yangseonung,꾸준하게 런닝하자 @kyounga0575,1,
ji.ltt,🏃‍♂️ 🏃‍♀️ 🔥 @06j08,1,
heoseonmi9232,💪👊🏃🏃‍♀️ @hankooktent,1,
boru_s2,🏃🏃🏻‍♀️🏃‍♂️ @eeedhq,1,
igaz_ay,"🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️👟👟👟💨 러닝레쯔고 @miimii_o.o @47455877.9 @njinklk

🏃‍♀️🏃‍♀️🏃‍♀️💨💨 달려잇 @miimii_o.o @47455877.9 @njinklk",2,
qwoow1_,🏃🏻‍♂️🏃🏻‍♀️🔥러닝 끝나고 오는 개운함 때문에 계속 뛰게 돼요 💨💪 @jask6526_,1,
sister_tone,달려엇!!🔥🔥🔥🏃🏃‍♀️🏃‍♂️💨💨,1,
ha_ppy_0908,🏃🏃‍♀️🏃‍♂️🎽💪 @hong__0427,1,
_blissgo,조아달료,1,
oslo.wj,@kwkkwk1203 🏃‍♂️ 🏃‍♀️🔥🫶🏻💧🙏🏻 집사야 올해도 러닝해야지 마라톤도 나가구!! 근데 피부는 지켜!!,1,
ohhea_gold,💨💪🏃🏻‍♂️🏃🏻‍♀️🏃🏻‍♂️🏃🏻‍♀️🔥☀️ @keepgoing_1993,1,
hyejin27_0,🏃‍♂️🏃‍♀️🏃 허리골절전에 러닝하며 건강했는데 이제 천천히 시작해야겠어요^^ 모두 러닝하고 건강해지세요^^ @conco4243,1,
sh.ane5651,매일 아침마다 달려요. 비오면 못나가지만 매일 조금이라도 하려고 노력하는 일인 응원해주세요 🏃🏻‍♂️‍➡️🏃🏻‍♂️‍➡️🏃🏻‍♂️‍➡️🚦🏃‍♀️🏃‍♀️🏃‍♀️🏅🏃🏃🏃👟🏃🏻‍➡️🏃🏻‍➡️🏃🏻‍➡️🩲🏃🏼‍♀️‍➡️🏃🏼‍♀️‍➡️🏃🏼‍♀️‍➡️,1,
jyk712712,런런런🏃🏃‍♀️🏃‍♂️,1,
bitter_sw2t__,🏋🏻‍♀️🏌️‍♀️🏄‍♀️🛼🛹⚾️⛹️‍♀️🚴‍♀️🏊‍♀️🧗‍♀️ @legere_jh @nouveau_depart._.4 @hamlog_,1,
aqsg1212,올해도 건강을달리즈,1,
yale__unni,안티에이징의핵심선스틱🫦,1,
calmf_official,"해당 게시글이 아닌, 저희 계정 고정핀 게시글에 댓글을 달아 참여해 주세요! 🏃🏻‍♀️🫵🏻📢",1,
loveberry08,💪🚶‍♂️🚶‍♀️🏃‍♂️🏃‍♀️@bedri558103,1,
choux.makeup,"🏃🏻‍♀️💪👟✨✨✨

👟🏃🏃🏻‍♀️🏃‍♂️!!!!",2,
kor_7791,🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️.🔥 @jegeumsug9,1,
vatory1222,🏃‍♀️🏃✌️🧠🫶,1,
katarinao0,🏋️💪🏃🏃‍♀️💨,1,
make_delight_,💪🏻🏃🏃🏻‍♀️,1,
o_2_e_2,✈️🛶🏃🏻‍♂️🏃🏻‍♂️🏃🏻,1,
cheri.u22,🏃🏃🏻‍♀️🏃‍♂️💨👟🔥💪🏻❤️‍🔥,1,
starry_night3081,🚶‍♀️🏃‍♀️🦮,1,
lee.hyunsil,🏃🏻🏃🏻‍♀️🏃🏻‍♂️🔥🔥🔥,1,
superwithcub,🏃🏃‍♀️🏃‍♂️💨❤️‍🔥💪🥵,1,
fishing.you,"💪🏃🏃‍♀️🏃‍♂️🎽💛

⛄️☃️🎽🩵🩵",2,
minny_3.23,🏃‍♂️🏃‍♀️🏃❤️‍🔥❤️‍🔥,1,
1111kkkjk,"🏃‍♀️

🏃‍♂️ 💪",2,
hasiri1818,🏃‍♀️ 🏃‍♂️ 🌋,1,
rainbow.rose.1004,⛰️🏞🌊🌇🌉🏃,1,
peachberry365,🏃‍➡️🏃🏃‍♀️‍➡️🏃‍♀️💪,1,
2847ha,💪🦶🏃‍♀️‍➡️🏃‍♂️🏃‍♀️‍➡️🏃‍♂️,1,
qazy_o_o,"🩷🩷✋💪🏼💪🏼

💪🏼🏃🏃‍♀️🏃‍♂️",2,
owlti_25,🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃🏃‍♀️🏃🏃‍♀️,1,
seonmogo,🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️,1,
alphagirl282,💪🏃‍♂️🏃‍♂️‍➡️🏃‍♀️🏃‍♀️‍➡️🏃🏃‍➡️,1,
run.shoko,🏃‍♀️🏃🕺🦵,1,
niemand0621,"🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♀️ 🏃‍♀️ 🏃‍♀️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 💪 💪 🔥 🔥 🔥 🐎 🏇 🐎 🏇 🐎

🐎 🏇 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 💪 💪 👟 👟",2,
majaegyeong8,🏃‍♂️🏃‍♀️🏃,1,
cooo_kiee,🏃‍♀️🏃🏃‍♂️🏅🌟🐆✨️,1,
__zzabu,👍💙🧦🏃‍♀️🏃🏃‍♂️,1,
bhr12_16,"👍🦾💪🦿🦵🫁🫀🏃‍♀️🏃

💪🦵🦶🫀🫁🏃🏃‍♀️🏃‍♂️🔥🔥☄️☄️ @qus12280",2,
hou_ioi01,달려 달려 🏃‍♂️🏃‍♀️🏃🏃‍♂️🏃‍♀️🏃 @haqa,1,
east_ark,"🌅🏃‍♂️🏙🏃‍♀️🏖🏃🏔🏃‍♂️☔️🏃‍♀️☃️🏃
@rumble_turtle @rainbow.rose.1004",1,
super_sooooo,🥰🔥🥰🔥🥰🔥🥰🔥 @ramisam88,1,
bokgorae,🥶🔥🧎🏻🧍🏻🚶🏻🏃🏻💪🏻🔥🔥 @kdsallin @soccer_0704 @leune_arm_strong,1,
droing909,🐎🐎👟🤜🤛👊🍂💛🥼✊️@minet.7 @beautiful__run @iololog.jpeg,1,
290700_j,🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️ 💪🦵🦶 26년에도 열심히 달려보자!! 달릴때 엔돌핀 업업 ! 넘넘 행복해요! 계속 열심히 뛰어 볼래요! 낭만 러너 고고씽❤️❤️ @lee2580_hy @younghwa9864 @kkkku_u,1,
jejurunningman,😁😁👍👍🕺🕺🕺🏃🏃🏃🏃@hwangjiugae @soonhansin @beginning_myswim @limgeumdong,1,
meriel16552,🧊❄️☃️🏃‍♀️🔥👍👍👍 @aimee_d_time @lee_hyeong_lim80,1,
jameica_zebra,🥶🏃‍➡️🙌🙏🌶️👍 @gongjaehyeon82,1,
janght86,🏃👍🏻⌚️⛰️🥇💕💕💕 @runnermoyaya,1,
kimjunyp,"🏃🏻🏃‍♂️🏃‍♀️🏃🏻❤️‍🔥❤️‍🔥❤️🐎
@bottlejin._.x @u_dangtang_life",1,
coflvkdl,우리같이 뛰어요🐎🐎 @ultrawomen78 @only_u282,1,
morbid.eye,🌞☔️☃️🌨 🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️💨💨💨😆💪✨️ @aroundvillage_,1,
beakjungyoul,❤️🏃🏊💚🏃‍♂️🏃‍♀️🏃👨‍👩‍👧‍👧🤹💪🦵🦶👐🤲👍🩷💕💞💘 @bareun2010 @jaeilhwang_ @hehehehe_3h,1,
kdsallin,러너스픽 ❤🏃💪🚩 @bokgorae @leune_arm_strong @soccer_0704 😊,1,
bangsusan,🚶‍♂️🚶‍♀️🏃‍♀️🏃‍♂️💥🌈🔥@christianssbang 다이어트런 화이팅❤❤,1,
m0001_di,열심히 겨울에도뛰어볼게 👏🏻 @sso_.ra @dawon_.kim,1,
runweight13,🔥🔥🔥🏃🏃‍♀️👍👍👍😁@warmmcoldd,1,
only_u282,새해도 달리기 고고🏃🏻‍♀️🖐🐎👍👋👏👍🤭,1,
ddanghans,2026도 화이팅🔥🔥🔥 @team.kilometer,1,
ultrawomen78,쪼아유~~~~~💚💚💚💚,1,
simpleda_,🏃 🏃‍♀️ 🏃‍♂️ @kge0321,1,
ssujeong_ee,@zzong_hyun 🌅☀️🌞👍🏃‍♀️🏃‍♀️🔥🔥🔥,1,
zzong_hyun,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥@ssujeong_ee,1,
soccer_0704,⛰️🏃🏻‍♂️🏃🏻‍♀️🤜🏻🤛🏻🐴🐴@leune_arm_strong,1,
k_gitae49,💯🫰💪🫁🏃‍♂️🏃‍♀️🏃👣🎊🥇🏆@kyungseung_ @junho122021 @runner.chun @j_papakwon,1,
sandai_drama,🏃‍♀️ 🏃‍♂️ 🔥 🔥 🐎 🐎 @hhh_rrrim,1,
junho122021,🏃‍♂️🏃‍♀️🏊‍♂️🥇🥈🥉🎖🏅🏊‍♀️🔥🔥🔥🔥🔥👍2️⃣6️⃣🐴🤸‍♂️🏋🚴‍♂️⛹️‍♀️🤼⛹️🚣‍♂️ @sunghoon007 @k_gitae49,1,
_sheep.run,26년도 적토마 러닝🐎🫡🔥🔥🔥@bbbyyyjeongmaii,1,
leune_arm_strong,🦾🦿👊🫁🏃‍♂️🏃‍♀️🏃🕺💃🤸‍♂️🤸‍♀️🤸👣💥🔥🔥🔥🔥🤣🤣@beakjungyoul,1,
runtaesik,👻👽🧒👦👧 🏃‍♂️ 🏃‍♀️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ @yunjung_88,1,
dayxrun,🏃🏃‍♀️🏃‍♂️❤️🧡💛💚🩵💙💜🩷,1,
aim2ya,🏃🏻‍♀️😂😭❄☃️❄💕🏃🏻‍♀️🏃🏻🏃🏻‍♂️✊🏻☺🏃🏻‍♀️☺🌨,1,
miventnote,☃️❄️🥹🫶,1,
dashmix11,🔥🤪🤪❤️‍🔥🩵🩵🤪🤪❤️‍🔥,1,
ahn_sung_hyun91,🥶🥶🏃🏻🏃🏻🔥🔥👍👍👏👏🇰🇷🇰🇷,1,
dongwan_91,🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘,1,
isu_photo,🏔🌋⛰️🫡🏃‍♀️😎😳🏃‍♂️😁😆🌍🌄🌃🌉,1,
king._.seo,🎆🧧🔥🏃🏻‍♂️🫀🫁😎🤟🏻,1,
deok.workout,🙇‍♂️🥹🫰🏃‍♂️🔥🥰,1,
kihwan.kim0505,🏃‍♂️🔥🏃🔥🏃‍♀️🔥💪💪🏃‍♂️🏃🏃‍♀️🔥🔥🔥,1,
do.dream_,"🔥🔥🔥 너무 추움
@jw_space",1,
giveyou_moon,지난 3년동안 2100km밖에 안뛰었는데 올해 @calmf_official 캄프와 함께 2026km 달려볼거에요!!! ❤️‍🔥💝🫁🫀💪🦾🦿🦵🤸‍♂️🚴‍♂️🏋‍♂️🏃🏃🏃,1,
han_jjeong,"🏃🏻‍♀️‍➡️☀️🌧️❄️☔️💨🔥💪🏃🏻‍➡️
@silvers__papa",1,
roun2ee,"러너 메이트 등장하라 🏃‍♀️ @wonj2n_

@roun2ee 🏃‍♀️🔥😍😎🏃‍♀️",2,
hhh_rrrim,"🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️🔥🔥

@hhh_rrrim @sandai_drama",2,
k_up_all,🎉👏👏👍👍🐎🐎🐎🐎🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️❤️‍🔥❤️‍🔥❤️‍🔥@i_up_all,1,
ysy_811112,🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️ 화이팅 @aquamarin8080,1,
haahahawon88,🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 💪💪💪💪,1,
coeweonyeong745,썬스틱 바르고 즐겁게러닝해요,1,
skinkuin,"러닝할 때 햇빛 때문에 선케어는 늘 고민이었는데,
땀 흘리면서도 간편하게 덧바를 수 있는 선스틱이라니 딱 필요하던 제품이에요😘🤗 러닝 전 그리고 중간 스트레칭 타임에 슥— 바르기 좋을 것 같아요🙌🏃‍♀️
‘움직이는 순간에도 이어지는 케어’가 러닝과 정말 잘 어울려서
이 선스틱 꼭 러닝 루틴에 함께하고 싶어요 🏃‍♂️🔥✨😎 @seobini0519",1,
hh_i82,@o._.0117 @psmlove0759 @hyunn__zz 🏃‍♀️🔥😍👟,1,
ff_hong,"캄프 선스틱바르고 1월엔 마일리지 200K+LSD35K즈! 2월엔 인생 첫 풀마라톤(대구마라톤) 멋지게 완주할겁니다! 🏃‍♀️🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🏃‍♀️

@ff_hong @chu_iwol_lee @bluelindh @woojin.kim.7140 @hyunwoo.ryu",2,
19.11.130,🙌🔥👏👟 @woodrings921,1,
yourim6350,🏃‍♂️ 🏃‍♀️ 🔥❤️ 🌞 ☀️ 💪  @seonghwan3962,1,
ekf74,🏃‍♀️🏃💪🙌👏😍❤️ @mtrees95,1,
jjjlovemato82,"🏃‍♀️🏃🏻☀️💪🔥❤️🙌🏃‍♀️☀️💪🏃🏻🔥❤️🙌

@jjjlovemato82 @euna0082",2,
onyoung95,@rarapapa_yong 🏃‍♀️,1,
yjbk09,"러닝도 포기 못 해요! 달리면서도 덧바를 수 있는 선스틱이라니 러너 필수템😍❄️☃️🎄🎃🪢 @dongrimkim, @sunae0706, @clim__12, @susia_j",1,
misty01142,🏃🏻☀️🏃🏽‍♀️🏃🏻‍♂️🏃🏿‍♂️ @flyagnes,1,
seyoung843,🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,1,
bom.bom5,🏃🏽‍♀️🔥🏃🏽‍♀️,1,
jaeguk_k,🏃🏻‍♀️🏃🏻‍♂️🔥🔥🔥🐅🐆🐎🐎🐎🐎🐎❤❤❤❤ @yxxnyxxhxxn,1,
___harang,"겨울 러닝의 최대 고민이 차가운 바람에 건조해지는 피부랑 의외로 강한 겨울 햇빛인데, 달리는 중에도 덧바를 수 있는 선스틱이라니...! 캄프의 세심함에 감동하고 가요 🧡 런린이지만 달리기에 대한 진심만큼은 누구보다 뜨겁습니다! 🔥🏃‍♀️☀️💪 캄프와 함께 건강하게 달리는 모습 꼭 기록해보고 싶어요!

@___harang @jdh8548",2,
o.ya.climb,🙌😍🙌 러너!! 선스틱바르고 러닝할래요😍 @mumu.omu,1,
young0850,🏃‍♂️🏃‍♀️🏃❤️ @happy__sunyoung @yujaekwon,1,
proudjunsu,🏃‍♀️🏃‍♀️🏃‍♀️⚡️ @kawk67,1,
americano_indian,🏃🏻💨🏃🏻‍♀️💨🏃‍♂️💨😎☀️🌞 @janght86 @runnermoyaya,1,
poesjin,🏀🎖🏅🏆🏆🎄🎄🎄 러닝할때 유용할것 같아요 @yunjung_perfectlife,1,
jk_minkyung,썬스틱 바르고 즐겁게러닝해요❤️🙌😍@poesjin @yunjung_perfectlife 다같이 런런투개더,1,
hiru0105,🏃‍♀️🏃🏻🏃🏿‍♂️💨💪🚅🚆✈️🚀🔥🔥🔥🔥🔥🔥 @js_chuni,1,
